dataset_group,dataset_file,process_count,resource_count,event_count,algorithm,detection_interval,runs,deadlock_detected,actual_deadlock_time,detected_deadlock_time,detection_latency,detection_frequency,detection_time_seconds,detection_overhead_seconds,max_wait_for_edges
very_large,very_large/very_large_random_42p.csv,42.000,63.000,112.000,dfs,10,5,True,90.000,99.000,9.000,12.000,0.000001907,0.000022880,49.000
very_large,very_large/very_large_random_45p_case03.csv,45.000,67.000,99.000,bfs,1,5,True,82.000,82.000,0.000,99.000,0.000009607,0.000951070,32.000
very_large,very_large/very_large_random_45p_case03.csv,45.000,67.000,99.000,bfs,2,5,True,82.000,83.000,1.000,50.000,0.000009904,0.000495184,32.000
very_large,very_large/very_large_random_45p_case03.csv,45.000,67.000,99.000,bfs,5,5,True,82.000,84.000,2.000,20.000,0.000006633,0.000132659,32.000
very_large,very_large/very_large_random_45p_case03.csv,45.000,67.000,99.000,bfs,10,5,True,82.000,89.000,7.000,10.000,0.000007041,0.000070409,32.000
very_large,very_large/very_large_random_45p_case03.csv,45.000,67.000,99.000,dfs,1,5,True,82.000,82.000,0.000,99.000,0.000002399,0.000237545,32.000
very_large,very_large/very_large_random_45p_case03.csv,45.000,67.000,99.000,dfs,2,5,True,82.000,83.000,1.000,50.000,0.000002434,0.000121714,32.000
very_large,very_large/very_large_random_45p_case03.csv,45.000,67.000,99.000,dfs,5,5,True,82.000,84.000,2.000,20.000,0.000002278,0.000045561,32.000
very_large,very_large/very_large_random_45p_case03.csv,45.000,67.000,99.000,dfs,10,5,True,82.000,89.000,7.000,10.000,0.000002427,0.000024268,32.000
very_large,very_large/very_large_random_48p_case04.csv,48.000,69.000,103.000,bfs,1,5,True,86.000,86.000,0.000,103.000,0.000008823,0.000908741,34.000
very_large,very_large/very_large_random_48p_case04.csv,48.000,69.000,103.000,bfs,2,5,True,86.000,87.000,1.000,52.000,0.000008986,0.000467276,34.000
very_large,very_large/very_large_random_48p_case04.csv,48.000,69.000,103.000,bfs,5,5,True,86.000,89.000,3.000,21.000,0.000015064,0.000316344,34.000
very_large,very_large/very_large_random_48p_case04.csv,48.000,69.000,103.000,bfs,10,5,True,86.000,89.000,3.000,11.000,0.000009362,0.000102986,34.000
very_large,very_large/very_large_random_48p_case04.csv,48.000,69.000,103.000,dfs,1,5,True,86.000,86.000,0.000,103.000,0.000002973,0.000306194,34.000
very_large,very_large/very_large_random_48p_case04.csv,48.000,69.000,103.000,dfs,2,5,True,86.000,87.000,1.000,52.000,0.000003498,0.000181883,34.000
very_large,very_large/very_large_random_48p_case04.csv,48.000,69.000,103.000,dfs,5,5,True,86.000,89.000,3.000,21.000,0.000002595,0.000054503,34.000
very_large,very_large/very_large_random_48p_case04.csv,48.000,69.000,103.000,dfs,10,5,True,86.000,89.000,3.000,11.000,0.000002404,0.000026445,34.000
very_large,very_large/very_large_random_52p_case05.csv,52.000,73.000,103.000,bfs,1,5,True,86.000,86.000,0.000,103.000,0.000009955,0.001025374,30.000
very_large,very_large/very_large_random_52p_case05.csv,52.000,73.000,103.000,bfs,2,5,True,86.000,87.000,1.000,52.000,0.000010134,0.000526954,30.000
very_large,very_large/very_large_random_52p_case05.csv,52.000,73.000,103.000,bfs,5,5,True,86.000,89.000,3.000,21.000,0.000009394,0.000197266,30.000
very_large,very_large/very_large_random_52p_case05.csv,52.000,73.000,103.000,bfs,10,5,True,86.000,89.000,3.000,11.000,0.000009880,0.000108678,30.000
very_large,very_large/very_large_random_52p_case05.csv,52.000,73.000,103.000,dfs,1,5,True,86.000,86.000,0.000,103.000,0.000003193,0.000328927,30.000
very_large,very_large/very_large_random_52p_case05.csv,52.000,73.000,103.000,dfs,2,5,True,86.000,87.000,1.000,52.000,0.000003688,0.000191801,30.000
very_large,very_large/very_large_random_52p_case05.csv,52.000,73.000,103.000,dfs,5,5,True,86.000,89.000,3.000,21.000,0.000002755,0.000057847,30.000
very_large,very_large/very_large_random_52p_case05.csv,52.000,73.000,103.000,dfs,10,5,True,86.000,89.000,3.000,11.000,0.000002568,0.000028249,30.000
